"BUDGET FISCAL YEAR","FTYP","FUNDTYPE","APPR","APPROPRIATION","Service Number","SERVICE","OBJECTGROUP","EXPENDITURE CLASSIFICATION","CURRENT BUDGET","ENCUMBRANCE","EXPENSES","ENCUMB&EXPENSE"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","9.99","Department Support","QV","Contractual & Other Services","1 550 619","32 434,61","35 577,48","68 012,09"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1399999999999999","Inspection and Life Safety Education","RC","Capital Outlay","0","32 445,31","0","32 445,31"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1200000000000001","Fire Training and Recruitment","QV","Contractual & Other Services","888 759","32 559,38","84 187,44","116 746,82"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.24","Police Field Patrol","QM","Supplies & Materials","3 972 526","32 707,09","1 483 768,86","1 516 475,95"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.3","Police Recruiting and Personnel Service","QV","Contractual & Other Services","1 231 485","32 914,53","293 010,4","325 924,93"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1299999999999999","Fire-Rescue Equipment Maintenance and Supply","RC","Capital Outlay","0","33 290,78","0","33 290,78"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.27","Police Investigations of Narcotics Related Crimes","QM","Supplies & Materials","140 887","33 628,76","56 434,4","90 063,16"
"2 017","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","2.2000000000000002","Floodplain and Drainage Management","QV","Contractual & Other Services","744 157","33 750,11","126 437,54","160 187,65"
"2 017","GNFD","General Fund","0001CCS","Code Compliance GF","3.18","Neighborhood Nuisance Abatement","RC","Capital Outlay","12 278","34 299,65","0","34 299,65"
"2 017","INSV","Internal Service Fund","0199POM","Express Business Center POM","5.G","Disposal of Surplus and Police Unclaimed Property","QV","Contractual & Other Services","509 550","34 956,25","166 991,36","201 947,61"
"2 017","GNFD","General Fund","0001CTS","Court and Detention Services GF","3.15","Illegal Dump Team - Criminal Investigations and Arrests","QV","Contractual & Other Services","53 813","35 467,21","31 562,02","67 029,23"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.4300000000000002","Street Repair Division - Asphalt","QV","Contractual & Other Services","3 649 560","36 489,67","2 191 939,49","2 228 429,16"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.H","Environmental Services for City Fleet Operations","QV","Contractual & Other Services","1 436 731","36 663,49","211 248,03","247 911,52"
"2 016","OTHO","Other Operating Fund","0191DSV","9-1-1 System Operations","5.A","9-1-1 Technology/Education Services","QV","Contractual & Other Services","15 824 419","37 055,91","11 542 351,5","11 579 407,41"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","4.09","Park Land Maintained","RC","Capital Outlay","409 454","37 140,19","318 046,5","355 186,69"
"2 017","GNFD","General Fund","0001OCA","Office of Cultural Affairs GF","4.1100000000000003","Public Art for Dallas","QV","Contractual & Other Services","192 346","37 293,56","17 269,58","54 563,14"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","4.01","Aquatic Services","QV","Contractual & Other Services","626 001","37 684,96","55 224,76","92 909,72"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.25","Wastewater Treatment","RC","Capital Outlay","282 900","38 502,5","54 700,3","93 202,8"
"2 016","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.K","Internal Computer Support","QV","Contractual & Other Services","2 139 445","39 964,06","2 377 416,97","2 417 381,03"
"2 017","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.04","Brush/Bulk Waste Removal Services","QV","Contractual & Other Services","6 081 302","40 206,13","2 021 739,49","2 061 945,62"
"2 016","INSV","Internal Service Fund","0197DSV","Radio Services DSV","5.M","Internal Radio Communication","RC","Capital Outlay","0","41 250","19 440","60 690"
"2 017","EFOP","Enterprise Operating Fund","0080CCT","Convention Center CCT","2.1","Dallas Convention Center","RC","Capital Outlay","2 431 565","42 000","36 665","78 665"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","4.12","Recreation Services","QM","Supplies & Materials","2 290 159","43 548,38","1 088 373,19","1 131 921,57"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.5299999999999998","Water Production and Delivery","RC","Capital Outlay","1 161 673","44 755","830 383,34","875 138,34"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","4.01","Aquatic Services","QM","Supplies & Materials","731 444","44 773,5","307 007,29","351 780,79"
"2 017","OTHO","Other Operating Fund","0191DSV","9-1-1 System Operations","5.A","9-1-1 Technology/Education Services","QM","Supplies & Materials","1 801 822","45 319,25","15 408,24","60 727,49"
"2 017","GNFD","General Fund","0001ECO","Economic Development GF","2.13","Economic Development Major Projects & Other Programs","QV","Contractual & Other Services","321 977","46 900,93","52 038,81","98 939,74"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.08","EMS Administration, Contracts, and Community Health","QM","Supplies & Materials","289 685","48 174,45","55 096,96","103 271,41"
"2 016","GNFD","General Fund","0001ELE","Elections","5.27","Elections","QV","Contractual & Other Services","660 853","49 315,2","594 034,11","643 349,31"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.4300000000000002","Street Repair Division - Asphalt","QM","Supplies & Materials","4 808 349","49 577,13","4 064 901,4","4 114 478,53"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.55","Water Utilities Customer Account Services","QM","Supplies & Materials","4 029 579","50 520,29","1 486 049,61","1 536 569,9"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1000000000000001","Fire Dispatch and Communications","QV","Contractual & Other Services","9 093 440","50 584,4","3 782 602,86","3 833 187,26"
"2 017","GNFD","General Fund","0001LIB","Library GF","4.07","Library Operations & Public Service","QM","Supplies & Materials","1 359 559","50 599,45","780 200,92","830 800,37"
"2 017","GNFD","General Fund","0001CCO","City Controller's Office GF","5.47","Payroll","QV","Contractual & Other Services","88 442","50 954,14","29 042,27","79 996,41"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.N","Internal Telephone and Data Communication","QM","Supplies & Materials","110 993","51 662,08","35 595,18","87 257,26"
"2 017","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.17","Field Inspections of Private Development Construction Sites","RC","Capital Outlay","0","54 915","0","54 915"
"2 016","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.21","Aviation Facilities - Dallas Executive Airport & Vertiport","RC","Capital Outlay","280 000","55 753,72","60 492,66","116 246,38"
"2 017","INSV","Internal Service Fund","0199POM","Express Business Center POM","5.B","Business Services","QV","Contractual & Other Services","221 530","57 166,7","100 853,32","158 020,02"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.4700000000000002","Traffic Operations Maintenance","QM","Supplies & Materials","2 333 683","57 381,79","996 641,26","1 054 023,05"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.54","Water Planning, Financial and Rate Services","QV","Contractual & Other Services","1 512 923","60 248,86","127 561,99","187 810,85"
"2 017","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","3.22","Stormwater Regulations & Enforcement","QM","Supplies & Materials","342 668","61 657,91","156 201,57","217 859,48"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.26","Water Conservation","QV","Contractual & Other Services","2 698 430","62 212,8","2 402 457,7","2 464 670,5"
"2 017","GNFD","General Fund","0001CTS","Court and Detention Services GF","1.06","Dallas City Marshal","RC","Capital Outlay","0","64 040,18","0","64 040,18"
"2 016","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.C","Business Technology Services","QM","Supplies & Materials","73 116","65 797,22","298 290,23","364 087,45"
"2 017","GNFD","General Fund","0001OCA","Office of Cultural Affairs GF","4.03","Cultural Services Contracts","QM","Supplies & Materials","127 760","67 478,41","591 510,34","658 988,75"
"2 017","GNFD","General Fund","0001TWM","Trinity Watershed Management GF","2.4900000000000002","Trinity River Corridor Operations","QV","Contractual & Other Services","363 923","67 626,84","56 634,3","124 261,14"
"2 017","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.21","Aviation Facilities - Dallas Executive Airport & Vertiport","RC","Capital Outlay","280 000","67 744","0","67 744"
"2 017","OTHO","Other Operating Fund","0195ORM","Office of Risk Management","5.P","Risk Management Services","QM","Supplies & Materials","227 650","68 085,78","31 929,73","100 015,51"
"2 017","GNFD","General Fund","0001STL","Street Lighting","2.42","Street Lighting","QV","Contractual & Other Services","1 306 926","68 112,06","142 499,16","210 611,22"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","4.04","Golf and Tennis Centers","QM","Supplies & Materials","1 298 833","69 183,28","568 967,35","638 150,63"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.4700000000000002","Traffic Operations Maintenance","QV","Contractual & Other Services","2 206 258","71 263,51","1 956 361,61","2 027 625,12"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1000000000000001","Fire Dispatch and Communications","QM","Supplies & Materials","107 585","73 817,11","44 483,46","118 300,57"
"2 017","GNFD","General Fund","0001ATT","City Attorney's Office GF","5.45","Litigation","QV","Contractual & Other Services","1 279 705","75 065,96","497 734,83","572 800,79"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.21","Police Administrative Support","QM","Supplies & Materials","2 454 873","75 374,27","1 175 538,41","1 250 912,68"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.29","Police Operational Support","QM","Supplies & Materials","462 062","76 083,8","342 207,17","418 290,97"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.26","DWU General Expense","QV","Contractual & Other Services","67 244 537","76 220,67","63 060 594,36","63 136 815,03"
"2 017","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.21","Aviation Facilities - Dallas Executive Airport & Vertiport","QV","Contractual & Other Services","3 486 220","80 332,05","671 432,6","751 764,65"
"2 017","GNFD","General Fund","0001CPE","Mgmt Services - Strategic Initiatives","5.13","Center for Performance Excellence","QV","Contractual & Other Services","226 467","80 794,87","64 542,4","145 337,27"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.24","Wastewater Collection","QV","Contractual & Other Services","1 892 198","81 326,78","658 919,29","740 246,07"
"2 017","GNFD","General Fund","0001CCO","City Controller's Office GF","5.0199999999999996","Accounts Payable","QV","Contractual & Other Services","187 020","83 176,27","76 944,29","160 120,56"
"2 017","EFOP","Enterprise Operating Fund","0080CCT","Convention Center CCT","2.29","Office of Special Events","QV","Contractual & Other Services","102 103","84 870,05","57 990,72","142 860,77"
"2 017","GNFD","General Fund","0001LIB","Library GF","4.0599999999999996","Library Materials & Collection Management","QV","Contractual & Other Services","1 946 301","86 552,56","840 016,46","926 569,02"
"2 016","GNFD","General Fund","0001CCO","City Controller's Office GF","5.32","Financial Reporting","PS","Personnel Services","2 089 684","87 284,89","1 751 034,84","1 838 319,73"
"2 016","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.Q","Strategic Technology Management","QV","Contractual & Other Services","2 874 504","87 692,4","7 119 242,24","7 206 934,64"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.I","Fuel Procurement and Management","QM","Supplies & Materials","14 188 145","88 274,83","625 268,06","713 542,89"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.08","EMS Administration, Contracts, and Community Health","RC","Capital Outlay","298 479","88 935,37","185 917,62","274 852,99"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.5299999999999998","Water Production and Delivery","RC","Capital Outlay","1 366 237","91 672,03","109 298,54","200 970,57"
"2 017","INSV","Internal Service Fund","0197DSV","Radio Services DSV","5.M","Internal Radio Communication","QV","Contractual & Other Services","1 981 486","92 576,27","726 828,53","819 404,8"
"2 017","GNFD","General Fund","0001ECO","Economic Development GF","2.4","Small Business Initiatives","QV","Contractual & Other Services","1 092 228","97 143,61","22 792,51","119 936,12"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","2.2999999999999998","Operation & Maintenance of Fair Park","RC","Capital Outlay","0","98 101","0","98 101"
"2 017","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","3.22","Stormwater Regulations & Enforcement","QV","Contractual & Other Services","1 101 798","98 158,88","186 116,49","284 275,37"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","9.99","Department Support","QV","Contractual & Other Services","54 406","103 482,1","1 705 846,15","1 809 328,25"
